Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP2,2035,1_1_0.5_1,191102997,152882398,8837816063280,8870104024784,32287961503,109249390,6645147505,494141002,649376790,5004146121,1832242118,2700899694,14852758880,496146912,132902950,19258565,76441199,267544197,76441199,267544197,343985396,2441,1550,8143125264550,466614361385,237014928262,23349470584,0,18.74683952331543
SSP2,2035,1_1_1_1,191102997,152882398,8835327970430,8870104024784,34776054353,109249390,6645147505,494141002,896398550,4535368949,2629091953,4581644431,14885012569,496146912,132902950,19258565,95132344,248853051,95132344,248853051,343985396,2441,1550,8143125264550,466614361385,237014928262,23349470584,0,19.347431182861328
SSP2,2035,1_1_1_10,191102997,152882398,8704732714152,8870104024784,165371310631,109249390,6645147505,494141002,759723366,4892343074,2390813865,8716515678,141363376747,496146912,132902950,19258565,80427641,263557755,80427641,263557755,343985396,2441,1550,8143125264550,466614361385,237014928262,23349470584,0,18.17879676818848
SSP2,2035,1_10_1_1,191102997,152882398,8833012896342,8870104024784,37091128441,109249390,6645147505,494141002,0,7686025230,0,7187568034,14968997277,496146912,132902950,19258565,0,343985396,0,343985396,343985396,2441,1550,8143125264550,466614361385,237014928262,23349470584,0,18.24688148498535
SSP2,2035,10_1_1_1,191102997,152882398,8791290320822,8870104024784,78813703961,109249390,6645147505,4941410028,22478712719,18417964104,8941649310,2407336152,14872234749,496146912,132902950,19258565,187952533,156032862,187952533,156032862,343985396,2441,1550,8143125264550,466614361385,237014928262,23349470584,0,19.02591323852539
SSP2,2040,1_1_0.5_1,243901232,195120986,13212794415518,13252673359249,39878943730,144131530,6566104855,608068016,955500642,6874314946,2338456833,3409405041,18982961862,594038448,131322097,23694132,97560493,341461726,97560493,341461726,439022219,2431,1538,12330753839136,593084570862,300107708848,28727240400,0,16.64104652404785
SSP2,2040,1_1_1_1,243901232,195120986,13209678406981,13252673359249,42994952267,144131530,6566104855,608068016,1222339677,6339585502,3295696040,5791904064,19027122580,594038448,131322097,23694132,119982633,319039585,119982633,319039585,439022219,2431,1538,12330753839136,593084570862,300107708848,28727240400,0,15.968027114868164
SSP2,2040,1_1_1_10,243901232,195120986,13042921191340,13252673359249,209752167908,144131530,6566104855,608068016,1360919048,6149311366,3393539687,10938689651,180591403750,594038448,131322097,23694132,119368279,319653939,119368279,319653939,439022219,2431,1538,12330753839136,593084570862,300107708848,28727240400,0,17.860225677490234
SSP2,2040,1_10_1_1,243901232,195120986,13206630589917,13252673359249,46042769331,144131530,6566104855,608068016,0,10617768727,0,8960701689,19145994511,594038448,131322097,23694132,0,439022219,0,439022219,439022219,2431,1538,12330753839136,593084570862,300107708848,28727240400,0,17.88213539123535
SSP2,2040,10_1_1_1,243901232,195120986,13150317879920,13252673359249,102355479328,144131530,6566104855,6080680167,32785909322,22484668906,12486075795,2792297738,19015611011,594038448,131322097,23694132,252567068,186455150,252567068,186455150,439022219,2431,1538,12330753839136,593084570862,300107708848,28727240400,0,3.983898162841797
