Name,LON,LAT,BasinName,Production,Ending,EndingRate
MGP Ingredients Inc,-95.313495,39.531759,OilCrop_MissouriR,47074.36,1759.45,0.03737595631513383
Mid Continent Industries,-97.427241,38.04322,OilCrop_ArkWhtRedR,22330.42,27.73,0.0012419974375362242
Minneola Cooperative Inc,-99.820313,37.235519,OilCrop_ArkWhtRedR,22330.42,561.1,0.02512703836460194
OK Company Op Grain Company,-98.684831,37.228866,OilCrop_ArkWhtRedR,22330.42,831.31,0.03722759380236401
Opp Concrete,-97.460993,37.684775,OilCrop_ArkWhtRedR,22330.42,2174.36,0.09737223662585348
Pawnee County Cooperative Association,-99.236731,38.181331,OilCrop_ArkWhtRedR,22330.42,539.3,0.024150698443670703
Premier Construction Service Inc,-97.460993,37.684775,OilCrop_ArkWhtRedR,22330.42,2196.55,0.09836580730174029
Pro-Ag Marketing,-98.785478,39.785174,OilCrop_MissouriR,47074.36,1877.25,0.039878352057907275
Sherwood Construction Co Inc,-97.460993,37.684775,OilCrop_ArkWhtRedR,22330.42,1006.21,0.04506019593837422
Southern Plains Cooperative,-99.312166,37.887621,OilCrop_ArkWhtRedR,22330.42,1768.86,0.07921294842847053
Stafford County Flour Mills,-98.717434,38.030988,OilCrop_ArkWhtRedR,22330.42,1469.93,0.06582628104909723
Steinlite Corporation,-95.313495,39.531759,OilCrop_MissouriR,47074.36,1912.71,0.040631758680227024
United Prairie Agency LLC,-101.319892,38.000239,OilCrop_ArkWhtRedR,22330.42,1634.88,0.07321328915522839
Wildcat Construction Co Inc,-97.460993,37.684775,OilCrop_ArkWhtRedR,22330.42,1973.54,0.08837911245490317
Woofter Construction & Irrigation,-101.05557,39.350924,OilCrop_MissouriR,47074.36,2800.41,0.05948903753763799
Dakota Plains AG Center,-97.754432,43.334873,OilCrop_MissouriR,47074.36,3694.35,0.07847908779550124
Farmers Cooperative Elevator,-96.946107,45.629576,OilCrop_MissppRN,3805.37,73.07,0.019201725767245936
Harrold Grain Co LLC,-99.996019,44.389027,OilCrop_MissouriR,47074.36,1940.36,0.04121909966859272
Madison Farmers Elevator Company,-97.129366,44.022065,OilCrop_MissouriR,47074.36,3924.05,0.08335851066771549
Southeast Farmers Elevator,-96.656035,42.832582,OilCrop_MissouriR,47074.36,3594.61,0.07636020644194579
